seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
16,2,95,105,13,1,10.91987657546997
16,3,73,127,13,3,14.411057710647583
16,4,91,109,13,2,20.120113611221313
17,1,94,106,0,1,10.830253601074219
17,2,76,116,16,1,11.902054071426392
17,3,108,92,34,1,10.178735733032227
17,4,104,96,28,1,14.961737632751465
18,1,-26,138,37,2,14.055622100830078
18,2,72,128,1,2,13.1416175365448
18,3,82,118,3,2,13.148689270019531
18,4,80,120,15,2,20.210402250289917
19,1,9,127,19,1,12.928956985473633
19,2,94,106,16,1,10.92081093788147
19,3,92,108,8,1,12.05991506576538
19,4,103,97,27,1,16.95872974395752
20,1,65,135,34,3,13.766111612319946
20,2,67,121,12,1,12.455179691314697
20,3,82,118,9,1,13.002719402313232
20,4,74,126,9,2,21.357861518859863
21,1,85,115,6,2,11.748048067092896
21,2,42,106,37,1,10.929369926452637
21,3,70,118,15,1,13.141871452331543
21,4,64,136,37,3,21.291823148727417
22,1,-165,129,-59,0,13.151172876358032
22,2,-5,97,-27,0,10.083014488220215
22,3,5,95,-25,0,11.43794870376587
22,4,70,130,0,1,24.91803479194641
23,1,20,116,30,1,11.83017897605896
23,2,62,122,12,1,12.552247762680054
23,3,102,98,8,1,11.261118173599243
23,4,106,94,22,1,17.473602533340454
24,1,3,165,9,2,16.780783653259277
24,2,-49,169,9,2,17.31747531890869
24,3,39,161,27,3,17.64950966835022
24,4,71,129,27,2,21.3384850025177
25,1,80,120,28,2,12.232027053833008
25,2,82,118,28,2,12.146218299865723
25,3,70,130,28,4,14.452069282531738
25,4,70,130,38,4,21.238317728042603
26,1,57,123,12,1,12.549713611602783
26,2,84,116,17,2,11.949798345565796
26,3,113,87,10,1,9.888723850250244
26,4,124,76,13,1,14.231972694396973
27,1,92,108,1,3,11.010578870773315
27,2,100,100,27,1,10.328543663024902
27,3,92,108,1,3,12.197552919387817
27,4,104,96,1,1,15.851408243179321
28,1,14,110,39,1,11.21865725517273
28,2,24,108,39,1,11.138086080551147
28,3,49,151,2,2,16.52255392074585
28,4,78,122,1,1,19.568214654922485
29,1,56,124,-5,1,12.62044095993042
29,2,101,99,26,1,10.269242763519287
29,3,70,118,-3,1,13.186689138412476
29,4,103,97,42,2,18.22687029838562
30,1,46,130,23,2,13.235011577606201
30,2,16,164,23,3,16.750051736831665
30,3,73,123,8,1,13.562132358551025
30,4,109,91,8,1,16.66683530807495
31,1,43,125,-8,1,12.727603673934937
31,2,39,161,4,3,16.499042510986328
31,3,87,113,20,2,12.588301181793213
31,4,111,89,10,1,15.957333326339722
32,1,-5,97,-27,0,9.90079927444458
32,2,43,133,7,2,13.671338081359863
32,3,105,75,-5,0,8.418590545654297
32,4,105,75,-5,0,13.147859811782837
33,1,107,93,34,2,9.498675107955933
33,2,79,121,2,2,12.442028284072876
33,3,107,93,34,2,10.209880352020264
33,4,107,93,34,2,14.719903469085693
34,1,-141,141,39,1,14.351402282714844
34,2,-51,111,-35,1,11.450701475143433
